Ano,Mês,SG_UF_NOT,Quantidade de Casos
2016,11,15,504
2016,11,16,137
2016,11,17,341
2016,11,21,214
2016,11,22,92
2016,11,23,2636
2016,11,24,262
2016,11,25,138
2016,11,26,873
2016,11,27,156
2016,11,28,152
2016,11,29,1172
2016,11,31,3102
2016,11,32,768
2016,11,33,1009
2016,11,35,8919
2016,11,41,3050
2016,11,42,274
2016,11,43,176
2016,11,50,311
2016,11,51,638
2016,11,52,3333
2016,11,53,209
2016,12,11,950
2016,12,12,379
2016,12,13,559
2016,12,14,68
2016,12,15,637
2016,12,16,75
2016,12,17,435
2016,12,21,230
2016,12,22,120
2016,12,23,1997
2016,12,24,310
2016,12,25,74
2016,12,26,714
2016,12,27,162
2016,12,28,207
2016,12,29,1409
2016,12,31,4661
2016,12,32,1422
2016,12,33,1511
2016,12,35,9112
2016,12,41,3077
2016,12,42,367
2016,12,43,298
2016,12,50,460
2016,12,51,955
2016,12,52,4333
2016,12,53,282
2017,1,11,1288
2017,1,12,834
2017,1,13,1247
2017,1,14,177
2017,1,15,2425
2017,1,16,186
2017,1,17,1312
2017,1,21,469
2017,1,22,241
2017,1,23,3796
2017,1,24,625
2017,1,25,186
2017,1,26,1000
2017,1,27,206
2017,1,28,175
2017,1,29,3033
2017,1,31,9962
2017,1,32,1986
2017,1,33,2531
2017,1,35,10185
2017,1,41,4382
2017,1,42,571
2017,1,43,476
2017,1,50,889
2017,1,51,1545
2017,1,52,7135
2017,1,53,408
2017,2,11,1218
2017,2,12,812
2017,2,13,1353
2017,2,14,288
2017,2,15,3396
2017,2,16,241
2017,2,17,2641
2017,2,21,1793
2017,2,22,319
2017,2,23,7717
2017,2,24,825
2017,2,25,304
2017,2,26,1143
2017,2,27,165
2017,2,28,112
2017,2,29,2214
2017,2,31,9612
2017,2,32,1341
2017,2,33,2185
2017,2,35,10735
2017,2,41,3373
2017,2,42,378
2017,2,43,238
2017,2,50,871
2017,2,51,1968
2017,2,52,8596
2017,2,53,469
2017,3,11,1448
2017,3,12,646
2017,3,13,1244
2017,3,14,528
2017,3,15,2535
2017,3,16,255
2017,3,17,2954
2017,3,21,2486
2017,3,22,751
2017,3,23,14685
2017,3,24,1404
2017,3,25,598
2017,3,26,1650
2017,3,27,310
2017,3,28,182
2017,3,29,2169
2017,3,31,11260
2017,3,32,2277
2017,3,33,2501
2017,3,35,12033
2017,3,41,3708
2017,3,42,344
2017,3,43,235
2017,3,50,957
2017,3,51,2449
2017,3,52,12724
2017,3,53,919
2017,4,11,570
2017,4,12,432
2017,4,13,965
2017,4,14,479
2017,4,15,1058
2017,4,16,107
2017,4,17,2207
2017,4,21,1270
2017,4,22,1001
2017,4,23,23061
2017,4,24,1180
2017,4,25,377
2017,4,26,1645
2017,4,27,403
2017,4,28,173
2017,4,29,1556
2017,4,31,7568
2017,4,32,1421
2017,4,33,1836
2017,4,35,8059
2017,4,41,2120
2017,4,42,261
2017,4,43,90
2017,4,50,679
2017,4,51,1811
2017,4,52,12452
2017,4,53,932
2017,5,11,405
2017,5,12,330
2017,5,13,678
2017,5,14,794
2017,5,15,1023
2017,5,16,156
2017,5,17,2462
2017,5,21,1148
2017,5,22,2085
2017,5,23,15932
2017,5,24,927
2017,5,25,334
2017,5,26,2604
2017,5,27,585
2017,5,28,211
2017,5,29,1644
2017,5,31,6220
2017,5,32,1203
2017,5,33,1905
2017,5,35,6070
2017,5,41,1610
2017,5,42,194
2017,5,43,93
2017,5,50,551
2017,5,51,1222
2017,5,52,14627
2017,5,53,1266
2017,6,11,282
2017,6,12,243
2017,6,13,447
2017,6,14,804
2017,6,15,532
2017,6,16,110
2017,6,17,1260
2017,6,21,558
2017,6,22,1710
2017,6,23,7329
2017,6,24,796
2017,6,25,443
2017,6,26,2455
2017,6,27,627
2017,6,28,116
2017,6,29,1142
2017,6,31,3346
2017,6,32,902
2017,6,33,1280
2017,6,35,3947
2017,6,41,944
2017,6,42,96
2017,6,43,54
2017,6,50,386
2017,6,51,726
2017,6,52,9750
2017,6,53,1101
2017,7,11,136
2017,7,12,171
2017,7,13,376
2017,7,14,825
2017,7,15,428
2017,7,16,84
2017,7,17,583
2017,7,21,362
2017,7,22,880
2017,7,23,3088
2017,7,24,653
2017,7,25,406
2017,7,26,1548
2017,7,27,359
2017,7,28,78
2017,7,29,912
2017,7,31,1459
2017,7,32,481
2017,7,33,953
2017,7,35,2498
2017,7,41,727
2017,7,42,89
2017,7,43,44
2017,7,50,226
2017,7,51,414
2017,7,52,3720
2017,7,53,303
2017,8,11,171
2017,8,12,175
2017,8,13,465
2017,8,14,394
2017,8,15,545
2017,8,16,67
2017,8,17,439
2017,8,21,267
2017,8,22,404
2017,8,23,1584
2017,8,24,854
2017,8,25,585
2017,8,26,1768
2017,8,27,260
2017,8,28,85
2017,8,29,735
